date,trade_date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side,full_date
8/25,2026-08-25,0050,元大證券,9800,8815,4295,4520,7.39,1,buy,2026-08-25
8/25,2026-08-25,0050,永豐金證券,0039004100300030,970,16202,-15232,24.9,1,sell,2026-08-25
8/25,2026-08-25,0050,國泰證券,8880,2189,60,2129,3.48,2,buy,2026-08-25
8/25,2026-08-25,0050,凱基-台北,9268,480,9635,-9155,14.97,2,sell,2026-08-25
8/25,2026-08-25,0050,中國信託,6160,1680,369,1311,2.14,3,buy,2026-08-25
8/25,2026-08-25,0050,富邦證券,9600,806,6280,-5474,8.95,3,sell,2026-08-25
8/25,2026-08-25,0050,國泰-敦南,8888,2585,1580,1005,1.64,4,buy,2026-08-25
8/25,2026-08-25,0050,台灣摩根士丹利,1470,104,1699,-1595,2.61,4,sell,2026-08-25
8/25,2026-08-25,0050,群益金鼎,9100,854,57,797,1.3,5,buy,2026-08-25
8/25,2026-08-25,0050,大展,5050,5,228,-223,0.36,5,sell,2026-08-25
8/25,2026-08-25,0050,富邦-港都,0039003600320051,658,30,628,1.03,6,buy,2026-08-25
8/25,2026-08-25,0050,新加坡商瑞銀,1650,2337,2495,-158,0.26,6,sell,2026-08-25
8/25,2026-08-25,0050,美商高盛,1480,939,362,577,0.94,7,buy,2026-08-25
8/25,2026-08-25,0050,兆豐-高雄,003700300030005a,27,125,-98,0.16,7,sell,2026-08-25
8/25,2026-08-25,0050,華南永昌,9300,896,406,490,0.8,8,buy,2026-08-25
8/25,2026-08-25,0050,第一金-大稻埕,0035003300380046,16,112,-96,0.16,8,sell,2026-08-25
8/25,2026-08-25,0050,永豐金-萬盛,0039004100390032,440,53,387,0.63,9,buy,2026-08-25
8/25,2026-08-25,0050,統一-台中,5856,31,128,-97,0.16,9,sell,2026-08-25
8/25,2026-08-25,0050,台新,0039004200300030,962,596,366,0.6,10,buy,2026-08-25
8/25,2026-08-25,0050,元大-福營,0039003800310046,33,113,-80,0.13,10,sell,2026-08-25
8/25,2026-08-25,0050,玉山-新莊,8842,365,58,307,0.5,11,buy,2026-08-25
8/25,2026-08-25,0050,亞東-台中,2187,3,73,-70,0.11,11,sell,2026-08-25
8/25,2026-08-25,0050,玉山-台中,0038003800340042,322,19,303,0.5,12,buy,2026-08-25
8/25,2026-08-25,0050,法銀巴黎,8900,0,68,-68,0.11,12,sell,2026-08-25
8/25,2026-08-25,0050,凱基,9200,304,5,299,0.49,13,buy,2026-08-25
8/25,2026-08-25,0050,國票-中和,0037003700390058,16,77,-61,0.1,13,sell,2026-08-25
8/25,2026-08-25,0050,元大-蘆洲中正,0039003800390049,314,18,296,0.48,14,buy,2026-08-25
8/25,2026-08-25,0050,合庫-西台中,0031003000320046,41,101,-60,0.1,14,sell,2026-08-25
8/25,2026-08-25,0050,康和,8450,305,13,292,0.48,15,buy,2026-08-25
8/25,2026-08-25,0050,元大-台南,9896,30,88,-58,0.09,15,sell,2026-08-25
8/25,2026-08-25,0051,台新,0039004200300030,5,0,5,11.11,1,buy,2026-08-25
8/25,2026-08-25,0051,兆豐-來福,0037003000300043,0,7,-7,15.56,1,sell,2026-08-25
8/25,2026-08-25,0051,富邦-建國,9658,3,0,3,6.67,2,buy,2026-08-25
8/25,2026-08-25,0051,元大證券,9800,3,9,-6,13.33,2,sell,2026-08-25
8/25,2026-08-25,0051,國泰-台中,8882,5,3,2,4.44,3,buy,2026-08-25
8/25,2026-08-25,0051,永豐金-市政,0039004100390057,0,4,-4,8.89,3,sell,2026-08-25
8/25,2026-08-25,0051,中國信託,6160,3,1,2,4.44,4,buy,2026-08-25
8/25,2026-08-25,0051,富邦-內湖,9627,0,4,-4,8.89,4,sell,2026-08-25
8/25,2026-08-25,0051,國泰證券,8880,2,0,2,4.44,5,buy,2026-08-25
8/25,2026-08-25,0051,台新-虎尾,003900420032004e,0,2,-2,4.44,5,sell,2026-08-25
8/25,2026-08-25,0051,華南永昌-彰化,9363,4,2,2,4.44,6,buy,2026-08-25
8/25,2026-08-25,0051,富邦-公益,0039003600310046,0,1,-1,2.22,6,sell,2026-08-25
8/25,2026-08-25,0051,凱基-信義,9216,2,0,2,4.44,7,buy,2026-08-25
8/25,2026-08-25,0051,國泰-敦南,8888,0,1,-1,2.22,7,sell,2026-08-25
8/25,2026-08-25,0051,富邦-中壢,9636,1,0,1,2.22,8,buy,2026-08-25
8/25,2026-08-25,0051,康和-板橋,0038003400350044,0,1,-1,2.22,8,sell,2026-08-25
8/25,2026-08-25,0051,群益金鼎-天母,0039003100380050,1,0,1,2.22,9,buy,2026-08-25
8/25,2026-08-25,0051,永豐金-中和,0039004100390042,0,1,-1,2.22,9,sell,2026-08-25
8/25,2026-08-25,0051,永豐金-中正,0039004100390055,1,0,1,2.22,10,buy,2026-08-25
