date,trade_date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
9/08,2026-09-08,0050,凱基-台北,9268,25201,6164,19037,17.52,1,buy
9/08,2026-09-08,0050,國泰-敦南,8888,1204,6425,-5221,4.8,1,sell
9/08,2026-09-08,0050,元大證券,9800,20970,2302,18668,17.18,2,buy
9/08,2026-09-08,0050,新光,8560,186,1376,-1190,1.09,2,sell
9/08,2026-09-08,0050,永豐金證券,0039004100300030,13854,1600,12254,11.28,3,buy
9/08,2026-09-08,0050,富邦-板橋,9655,74,1056,-982,0.9,3,sell
9/08,2026-09-08,0050,美商高盛,1480,8348,0,8348,7.68,4,buy
9/08,2026-09-08,0050,國泰-台中,8882,159,1092,-933,0.86,4,sell
9/08,2026-09-08,0050,國泰證券,8880,6027,322,5705,5.25,5,buy
9/08,2026-09-08,0050,國泰-板橋,003800380038004b,196,935,-739,0.68,5,sell
9/08,2026-09-08,0050,富邦證券,9600,5743,263,5480,5.04,6,buy
9/08,2026-09-08,0050,元大-中壢,9834,43,710,-667,0.61,6,sell
9/08,2026-09-08,0050,花旗環球,1590,1759,0,1759,1.62,7,buy
9/08,2026-09-08,0050,永豐金-市政,0039004100390057,26,573,-547,0.5,7,sell
9/08,2026-09-08,0050,群益金鼎,9100,1025,171,854,0.79,8,buy
9/08,2026-09-08,0050,新光-台中,8561,248,740,-492,0.45,8,sell
9/08,2026-09-08,0050,摩根大通,8440,650,261,389,0.36,9,buy
9/08,2026-09-08,0050,國泰-高雄,8881,147,608,-461,0.42,9,sell
9/08,2026-09-08,0050,中國信託,6160,1007,823,184,0.17,10,buy
9/08,2026-09-08,0050,台新-台中,0039004200310068,101,551,-450,0.41,10,sell
9/08,2026-09-08,0050,(牛牛牛)亞-鑫豐,0036003000310064,346,164,182,0.17,11,buy
9/08,2026-09-08,0050,富邦-台中,003900360035004b,34,479,-445,0.41,11,sell
9/08,2026-09-08,0050,合庫證券,1020,283,180,103,0.09,12,buy
9/08,2026-09-08,0050,富邦-永和,9654,66,507,-441,0.41,12,sell
9/08,2026-09-08,0050,元大-信義,003900380039006d,129,33,96,0.09,13,buy
9/08,2026-09-08,0050,富邦-仁愛,9676,67,495,-428,0.39,13,sell
9/08,2026-09-08,0050,凱基,9200,1071,1008,63,0.06,14,buy
9/08,2026-09-08,0050,國泰-桃園,8885,267,694,-427,0.39,14,sell
9/08,2026-09-08,0050,華南永昌-中正,9359,110,49,61,0.06,15,buy
9/08,2026-09-08,0050,國票證券,7790,91,469,-378,0.35,15,sell
9/08,2026-09-08,0051,第一金-安和,003500330038006a,60,0,60,59.41,1,buy
9/08,2026-09-08,0051,元大證券,9800,7,47,-40,39.6,1,sell
9/08,2026-09-08,0051,國泰證券,8880,8,0,8,7.92,2,buy
9/08,2026-09-08,0051,中國信託-松江,6167,0,5,-5,4.95,2,sell
9/08,2026-09-08,0051,永豐金證券,0039004100300030,4,0,4,3.96,3,buy
9/08,2026-09-08,0051,國泰-台中,8882,3,7,-4,3.96,3,sell
